Event Name,Event Time,Status,External Url
Commercial Lines Innovation USA 2022,"May 09, 2022 02:00 PM - May 11, 2022 10:00 PM",RELINQUISHED,https://bit.ly/3HhuXID
[Italy] Digital DT Experience,"Nov 11, 2020 01:30 PM - Nov 12, 2020 03:30 PM",APPROVED,https://www.mjvinnovation.com/it/digital-dtexperience/
Trasformazione Agile del Business - Italia,"Jul 22, 2021 03:00 PM - Jul 22, 2021 04:00 PM",APPROVED,
Uncovering the Future: Blockchain & Cryptocurrency's Impact on FS,"Feb 19, 2025 04:00 PM - Feb 19, 2025 05:00 PM",APPROVED,https://beexecutiveevents.com/webinar/fs-future/
Polizze Assicurative: una nuova era del processo di analisi grazie all'AI,"Apr 15, 2021 09:00 AM - Apr 15, 2021 10:00 AM",APPROVED,https://www.expert.ai/it/resource/polizze-assicurative-verso-una-nuova-era-del-processo-di-analisi-grazie-uso-intelligenza-artificiale/?utm_medium=social-owned&utm_source=linkedin&utm_campaign=policy-review&utm_content=webinar-ita-event-page
Connubio AI-Blockchain: è possibile?,"Sep 20, 2023 09:30 AM - Sep 20, 2023 10:30 AM",APPROVED,https://ikn.it/connubio-ai-blockchain-e-possibile/
Why It’s Time To Adopt Practical AI for Legal and Regulatory Compliance,"Sep 22, 2020 03:00 PM - Sep 22, 2020 04:00 PM",RELINQUISHED,https://attendee.gotowebinar.com/register/2343589652334058766?source=LI+Event
Data Entropy Talk with Andrew Jones,"Oct 27, 2022 04:00 PM - Oct 27, 2022 05:00 PM",APPROVED,https://app.livestorm.co/sifflet/data-entropy-talk-with-andrew-jones?type=detailed
DRINK & TALK,"Jan 22, 2024 05:30 PM - Jan 22, 2024 09:00 PM",APPROVED,
Un caffè con noi.....vi presentiamo ContractSuite,"Jan 16, 2023 09:00 AM - Jan 31, 2023 04:00 PM",APPROVED,https://www.contractsuite.eu/richiedi-demo/
Commercial Lines Innovation USA - Virtual Event,"May 18, 2021 02:00 PM - May 20, 2021 07:00 PM",APPROVED,https://www.commercial-lines-innovation-usa.com/?utm_source=LI&utm_medium=LI%20Event&utm_campaign=LI
Il tempo di un caffè: ti racconto le nostre suite digitali per Imprese e PA,"Feb 20, 2024 08:30 AM - May 31, 2024 04:00 PM",APPROVED,https://bit.ly/ufficio_antonino
"Ai, Data Analytics and Insights Summit - Italy ONLINE Meeting ","Apr 15, 2021 07:00 AM - Apr 16, 2021 12:00 PM",APPROVED,https://berryprofessionals.com/ai-data-analytics-and-customer-experience-summit-2021/
Growing Together: LinkedIn Live with Capgemini and Thinkers50,"Feb 03, 2023 04:00 PM - Feb 03, 2023 05:00 PM",APPROVED,
Strategie su misure di sicurezza tra titolari/responsabili del trattamento,"Apr 27, 2021 03:00 PM - Apr 27, 2021 04:00 PM",APPROVED,https://dlapiper-events.webex.com/dlapiper-events/j.php?MTID=m05f79bda8d2030b16ffbde71ee789018
ASSISTENZA DOMICILIARE: QUALI SINERGIE TRA STRUTTURE SANITARIE E COMPAGNIE?,"Mar 17, 2023 10:00 AM - Mar 17, 2023 11:00 AM",RELINQUISHED,https://ikn.webex.com/ikn-it/j.php?MTID=mf4b37577aaa6f0a3f903680ed10e2f58
Cloud Academy & Key Partner: storia di una partnership di successo,"Oct 27, 2022 09:00 AM - Oct 27, 2022 10:00 AM",APPROVED,https://info.cloudacademy.com/resources/webinar/ca-italy-customer-oct27
STORIE D’IMPRESA E DI TECNOLOGIA: una vita al servizio dell'innovazione,"Dec 17, 2024 05:30 PM - Dec 17, 2024 09:30 PM",RELINQUISHED,https://www.tickettailor.com/events/associazionedemetra/1486065
Sviluppa le tue competenze e forma i tuoi talenti su AWS con Cloud Academy,"Mar 02, 2022 10:00 AM - Mar 02, 2022 11:00 AM",RELINQUISHED,
R in the Energy Industry,"Jan 13, 2021 08:00 PM - Jan 13, 2021 09:00 PM",RELINQUISHED,https://collegioborromeo-it.zoom.us/meeting/register/tZMuf-CpqTgvE9KKe5GT3L6d0e93BrRSch9h
Thinkers50 LinkedIn Live with Elisa Farri & Paolo Cervini ,"Feb 15, 2023 04:00 PM - Feb 15, 2023 05:00 PM",APPROVED,
IBM Cloud Walkthrough,"Mar 04, 2021 04:30 PM - Mar 04, 2021 05:15 PM",APPROVED,https://www.crowdcast.io/e/-ibm-cloud-walkthrough
Smart Claims 2025: Improve Loss Ratio and Customer Satisfaction with AI,"Apr 24, 2025 01:00 PM - Apr 24, 2025 02:00 PM",APPROVED,https://teams.microsoft.com/meet/37789865359?p=H4Fy44fxQC9VNc2ZYS
"Explore AI's Impact on Insurance Ops: Claims, Underwriting, Fraud Detection","Apr 23, 2024 03:00 PM - Apr 23, 2024 04:00 PM",APPROVED,
AI per l'Elaborazione Documentale: dai documenti ai dati strutturati,"Jul 20, 2023 03:00 PM - Jul 20, 2023 04:00 PM",APPROVED,meet.google.com/uky-jejd-zuc
"Salotto Digitale - ""Io, Robot: Human vs AI"" - Terza Puntata","Jan 21, 2024 07:30 PM - Jan 21, 2024 08:30 PM",APPROVED,
"Salotto Digitale, ospite Tamara Zancan, Direttore Cybersecurity Microsoft","Mar 07, 2024 07:30 PM - Mar 07, 2024 08:30 PM",APPROVED,
ZERO KM Finance,"Sep 24, 2020 04:30 PM - Sep 24, 2020 06:00 PM",RELINQUISHED,
Exponential (Human-Tech) languages for an exponential world,"Jul 20, 2020 04:00 PM - Jul 20, 2020 05:00 PM",RELINQUISHED,https://www.linkedin.com/in/fabiomoioli/
[Webinar] L'AI Generativa che conosce il tuo contesto aziendale,"Jul 06, 2023 08:00 AM - Jul 06, 2023 09:00 AM",RELINQUISHED,
Opportunità e benefici dell'Intelligent process automation,"Oct 11, 2022 10:30 AM - Oct 11, 2022 11:00 AM",APPROVED,
"Full Data Stack Observability, from firefighting to fire prevention","Sep 13, 2022 05:00 PM - Sep 13, 2022 06:00 PM",APPROVED,
Interno Verde 2020,"Sep 12, 2020 08:00 AM - Sep 13, 2020 08:00 AM",RELINQUISHED,https://internoverde.it/iscrizioni-ferrara/
"Live Webinar ""Deepen Your Humanity Skills in Times of AI""","Dec 07, 2023 10:30 AM - Dec 07, 2023 11:00 AM",RELINQUISHED,https://us02web.zoom.us/webinar/register/WN_HJa9lq3sQDSbLBpXbku3ZQ
In-flight Campaign Optimization Using Multi-Touch Attribution For CPG,"Sep 29, 2020 06:00 PM - Sep 29, 2020 07:00 PM",RELINQUISHED,https://www.sigmoid.com/events/in-flight-campaign-optimization-using-mta-for-cpg/
Sviluppa le tue competenze e forma i tuoi talenti su AWS con Cloud Academy,"Oct 20, 2022 09:00 AM - Oct 20, 2022 10:00 AM",APPROVED,
"Witzy, la rivoluzione #phygitalinsurance - 19 Maggio 2022","May 19, 2022 08:30 AM - May 19, 2022 09:30 AM",APPROVED,
Virtual DTx: Business Transformation Edizione Italia.,"May 25, 2021 03:00 PM - May 25, 2021 04:30 PM",RELINQUISHED,
INSURTECH VILLAGE - ITALY INSURANCE FORUM ,"Apr 19, 2023 07:00 AM - Apr 19, 2023 04:00 PM",APPROVED,
"Tech Skills e Formazione, i Trend e le Opportunità del 2021","Apr 28, 2021 09:00 AM - Apr 28, 2021 10:00 AM",RELINQUISHED,https://register.gotowebinar.com/register/2451638665370622221
"South Europe Ai, Data Analytics and Insights Summit in Milan, Italy","May 26, 2022 07:00 PM - May 27, 2022 11:30 AM",RELINQUISHED,https://berryprofessionals.com/ai-data-analytics-and-insights-summit-south-europe-2022-free-registration/
L'urgenza della Data Integration per la crescita data-driven dell'azienda,"Mar 04, 2021 08:00 AM - Mar 04, 2021 09:00 AM",RELINQUISHED,https://datrix.it/it/data-breakfast/
