Login Date,IP Address,User Agent,Login Type
Tue May 02 12:18:27 UTC 2023,163.116.172.120,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36",Login
Sat May 06 08:52:53 UTC 2023,151.36.199.122,LIAuthLibrary:44.0.* com.linkedin.LinkedIn:9.27.2711.3 iPad:15.5,Login
Sat May 06 08:52:55 UTC 2023,151.36.199.122,LIAuthLibrary:44.0.* com.linkedin.LinkedIn:9.27.2711.3 iPad:15.5,Login
Sun May 28 07:15:24 UTC 2023,80.37.229.231,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko)",Login
Mon Jul 17 16:29:58 UTC 2023,163.116.172.119,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Login
Wed Jul 31 08:30:15 UTC 2024,163.116.172.116,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",Login
Wed Dec 04 14:29:35 UTC 2024,163.116.235.30,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",Login
Mon Jan 13 13:31:30 UTC 2025,163.116.172.123,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Login
Sat Mar 15 22:38:23 UTC 2025,93.66.4.50,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.30.8684.7",Login
Sun Apr 06 08:13:11 UTC 2025,93.66.97.26,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.2 Safari/605.1.15",Login
